'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
172392,170340,33228,31628,200,9,4580236,185412,1117816,0,458220,928980,4580236,156,83972,23844,110832,7208,317156,1020,"-1,010792151","-1,241316101","0,2181366653",7
172392,170340,33228,31632,200,31,4579688,185452,1117816,0,458260,928984,4579688,164,83976,23844,110900,7208,314576,1020,"-0,979873652","-1,200116751","0,1712201749",7
172392,170340,33228,31632,200,54,4579620,185476,1117816,0,458316,928952,4579620,152,83976,23844,110928,7204,314352,1020,"-0,886794084","-1,12941542","0,1001232442",7
172392,170340,33228,31628,200,39,4580360,185508,1117816,0,458368,928928,4580360,156,83940,23844,110844,7208,316460,1530,"-1,076112243","-1,306527264","0,382912322",6
172392,170340,33228,31628,200,31,4579556,185524,1117816,0,458420,928892,4579556,136,83972,23844,110848,7208,316460,1530,"-1,109181485","-1,341069965","0,3991844358",6
172392,170340,33228,31628,200,15,4580048,185536,1117816,0,458488,928836,4580048,40,83972,23844,110996,7208,314256,1530,"-1,248880861","-1,442579507","0,4235161658",6
172392,170340,33228,31628,200,9,4580352,185584,1117816,0,458524,928844,4580352,156,83968,23844,110916,7208,314236,1530,"-1,280093555","-1,462022009","0,4411914567",6
172392,170340,33228,31628,200,9,4579732,185624,1117816,0,458564,928848,4579732,160,83972,23844,110820,7204,318268,1020,"-0,98283913","-1,241844943","0,1964606278",7
172392,170340,33228,30880,200,58,4579968,185660,1117816,0,457856,928844,4579968,148,83224,23844,110872,7204,315720,1530,"-1,087588072","-1,314552498","0,3214132028",6
172392,170340,33228,30880,200,45,4580436,185700,1117816,0,457892,928844,4580436,152,83220,23844,110872,7204,315636,1530,"-1,152758333","-1,365385324","0,3473029131",6
172392,170340,33228,30880,200,35,4580400,185728,1117816,0,457964,928804,4580400,156,83224,23844,110916,7208,315304,1530,"-1,198169802","-1,396416751","0,3915558463",6
172392,170340,33228,30880,200,16,4580428,185772,1117820,0,458000,928816,4580428,176,83224,23844,110988,7204,313116,1020,"-1,175386381","-1,352700932","0,1774481223",7
