'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
170344,170340,31144,31140,200,43,4471580,94884,1259568,0,597900,891332,4471580,8159224,459632,0,134504,29956,116216,8024,365692,1530,0,2,"6,8774244757","12,357472092","46,760802702","-0,039704924",4
170344,170340,31148,31140,200,26,4720436,97808,1064968,0,366496,880988,4720436,8159224,192588,0,84604,24312,109564,7576,315392,1530,0,2,"-2,122862055","3,9566963634","13,427544109","0,0534293862",3
170344,170340,31208,31140,200,13,4709868,97944,1075684,0,376648,882056,4709868,8159224,119972,0,85176,24272,109568,7704,317992,1530,0,2,"-1,649756519","3,561234534","10,248543002","0,0437151714",3
170344,170340,31916,31912,200,9,4699488,98052,1084804,0,386696,882460,4699488,8159224,107284,0,86152,24092,109392,7620,319664,1020,0,2,"-1,471886185","3,1387590513","8,4752818392","-0,013490083",3
170344,170340,31920,31912,200,37,4689572,98160,1094124,0,395720,882812,4689572,8159224,77100,0,86132,24168,109424,7608,317620,1530,0,2,"-1,49173101","2,6287276031","7,2361407151","0,0494954037",3
170344,170340,31920,31912,200,51,4673128,98276,1110480,0,406568,888336,4673128,8159224,57796,0,86164,23948,109840,7320,319164,1530,0,2,"-1,98238361","1,0368323448","4,1893631982","0,0478109216",5
170344,170340,31920,31912,200,45,4667772,98440,1117028,0,407616,892048,4667772,8159224,43668,0,84208,23740,109340,7208,317168,1530,0,2,"-2,453289297","0,1266553507","2,3032315767","0,0410871797",5
170344,170340,31920,31912,200,30,4668884,98536,1117028,0,407620,892152,4668884,8159224,35060,0,84208,23740,109240,7204,314764,1530,0,2,"-2,610404751","-0,067314104","1,8624021244","0,0289112366",5
170344,170340,31920,31912,200,25,4668808,98624,1117028,0,407620,892240,4668808,8159224,26764,0,84208,23740,109296,7208,316832,1530,0,2,"-2,560070242","-0,127320248","1,4638526356","0,0258946031",5
170344,170340,31948,31912,200,14,4669144,98728,1117028,0,407616,892344,4669144,8159224,18480,0,84204,23740,109156,7208,316736,1530,0,2,"-2,616791381","-0,252038063","1,0536304236","0,0176705382",5
