 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 406288  68632  24736 410452    0    0     0    12 2819  699  2 16 82  0  0
 0  0 406288  68632  24736 410472    0    0     0     0 3200  771  3 24 73  0  0
 0  0 406288  68632  24736 410476    0    0     0     0 3220  766  5 24 72  0  0
 0  0 406288  68632  24736 410484    0    0     0     0 3677  734  4 31 65  0  0
 0  0 406288  68632  24736 410488    0    0     0     0 3697  768  4 29 68  0  0
 0  0 406288  68632  24744 410496    0    0     0    12 2847  744  3 28 69  0  0
 0  0 406288  68632  24744 410500    0    0     0     0 3311  709  4 44 53  0  0
 0  0 406288  68632  24744 410512    0    0     0     0 2992  773  2 28 70  0  0
 0  0 406288  68632  24744 410512    0    0     0     0 3565  775  5 30 66  0  0
 0  0 406288  68632  24744 410524    0    0     0     0 3552  795  5 27 68  0  0
 0  0 406288  68632  24752 410520    0    0     0    12 3835  803  5 33 63  0  0
 0  0 406288  68632  24752 410536    0    0     0     0 2655 1015 10 31 59  0  0
 0  0 406288  68632  24752 410536    0    0     0     0  122  230  1  0 99  0  0
 0  0 406288  68632  24752 410536    0    0     0   176  145  248  1  1 98  0  0
 0  0 406288  68632  24752 410536    0    0     0     0  130  219  0  0 100  0  0
 0  0 406288  68632  24752 410536    0    0     0     0  129  247  1  0 99  0  0
 0  0 406288  68632  24760 410528    0    0     0    24  136  255  0  0 99  1  0
 0  0 406288  68632  24760 410536    0    0     0     0  154  215  1  1 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  126  232  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0   97  210  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  110  214  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  154  262  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  108  214  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  127  212  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  117  240  1  1 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  114  220  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  121  227  0  1 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  130  233  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  130  215  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  138  247  1  1 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  152  215  1  1 98  0  0
 0  0 406288  68632  24760 410536    0    0     0    16  135  232  2  0 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  119  220  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  124  218  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  123  218  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  142  244  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  127  223  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  132  251  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  135  248  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  124  204  2  0 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  120  224  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  131  232  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  143  211  1  0 99  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  142  248  0  0 100  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  105  200  2  0 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  128  229  0  0 100  0  0
 0  0 406288  68632  24760 410536    8    0     8     0  466 1088  6  2 90  1  0
 0  0 406288  68632  24760 410536    0    0     0     0  516  872  5  1 94  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  494  831  5  1 94  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  510  798  2  0 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  517  765  4  1 95  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  520  750  6  1 93  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  455  655  3  1 96  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  394  592  2  1 97  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  360  502  2  0 98  0  0
 0  0 406288  68632  24760 410536    0    0     0     0  233  378  1  0 99  0  0
 0  0 404496  68632  24760 410540 2068    0  2068     0  609 1897 33  2 65  0  0
