,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
309,3,0,186644,66832,10520,305448,0,0,412,0,1347,561,24,75,1,0,0
310,2,0,186644,66832,10520,305472,0,0,0,0,1428,567,22,77,1,0,0
311,5,0,186644,66160,10528,305468,0,0,0,16,1590,617,19,80,1,0,0
312,2,0,186644,66160,10528,305476,0,0,0,0,1391,615,13,61,26,0,0
313,0,0,186644,66160,10528,305480,0,0,0,0,1401,595,7,59,35,0,0
314,4,0,186644,66160,10536,305472,0,0,0,28,1580,1601,9,68,23,0,0
315,0,0,186644,65712,10536,305488,0,0,0,0,1700,459,0,67,33,0,0
316,3,0,186644,65712,10536,305492,0,0,0,0,1444,446,0,57,43,0,0
317,2,0,186644,65712,10536,305496,0,0,0,0,1961,479,0,83,17,0,0
318,3,0,186644,65712,10536,305496,0,0,0,0,1193,442,0,46,54,0,0
319,0,0,186644,65040,10548,305500,0,0,0,128,2189,528,0,89,11,0,0
320,1,0,186644,65040,10548,305500,0,0,0,0,1411,421,0,59,40,1,0
321,3,0,186644,65040,10548,305504,0,0,0,0,1919,481,0,84,16,0,0
322,1,0,186644,64592,10548,305508,0,0,0,0,1423,401,0,63,37,0,0
323,2,0,186644,64592,10548,305508,0,0,0,0,1361,440,0,53,47,0,0
324,1,0,186644,61880,10556,305512,0,0,0,64,962,395,0,52,48,0,0
325,1,0,186644,61880,10556,305512,0,0,0,0,1175,382,0,45,55,0,0
326,0,0,186644,61880,10556,305516,0,0,0,0,1523,432,0,61,39,0,0
327,2,0,186644,61880,10556,305516,0,0,0,0,1021,362,0,43,57,0,0
328,0,0,186644,61880,10556,305520,0,0,0,0,1414,415,0,63,37,0,0
329,7,0,186644,61880,10564,305512,0,0,0,16,1984,470,0,89,11,0,0
330,8,0,186644,61880,10564,305524,0,0,0,0,2425,560,0,100,0,0,0
331,0,0,186644,61880,10564,305528,0,0,0,0,1515,503,0,58,42,0,0
332,0,0,186644,61880,10564,305532,0,0,0,0,1274,407,0,57,43,0,0
333,3,0,186644,61880,10564,305532,0,0,0,0,1587,462,0,66,34,0,0
334,7,0,186644,61880,10572,305524,0,0,0,16,1880,476,0,79,21,0,0
335,3,0,186644,61880,10572,305536,0,0,0,0,1308,439,0,51,49,0,0
336,0,0,186644,61880,10572,305540,0,0,0,0,1550,447,0,64,36,0,0
337,1,0,186644,61880,10572,305540,0,0,0,0,588,331,0,20,80,0,0
338,1,0,186644,61880,10572,305544,0,0,0,0,1716,510,0,67,33,0,0
339,0,0,186644,61880,10580,305536,0,0,0,16,896,358,0,34,66,0,0
340,1,0,186644,61880,10580,305548,0,0,0,0,1102,407,0,39,61,0,0
341,0,0,186644,61880,10580,305552,0,0,0,0,1128,416,0,60,40,0,0
342,2,0,186644,61880,10580,305552,0,0,0,0,860,402,0,33,67,0,0
